fips,hrs_82,latitude,longitude,longitudes,latlong,latlong_placement,name,street,city,state,zip
"10003016402",30.549999,39.586109,75.649437,-75.649437,1,1,"DELAWARE CITY PVC PLANT","RTE 13 & SCHOOL HOUSE RD","Delaware City","DE","19706"
"12011050202",44.529999,26.198332,80.152222,-80.152222,1,1,"HOLLINGSWORTH SOLDERLESS TERMINAL","700 NW 57TH PLACE","Fort Lauderdale","FL","33309"
"12011070306",57.860001,26.069599,80.342598,-80.342598,1,1,"DAVIE LANDFILL","SW 142ND AVE","Davie","FL","33314"
"12031011700",58.75,30.36861,81.738892,-81.738892,1,1,"PICKETTVILLE ROAD LANDFILL","5150 PICKETTVILLE RD","Jacksonville","FL","32205"
"12031011901",46.18,30.313889,81.842781,-81.842781,1,1,"COLEMAN-EVANS WOOD PRESERVING CO.","101 CELERY ST","Whitehouse","FL","32210"
"12033000300",40.439999,30.404718,87.236664,-87.236664,1,1,"AMERICAN CREOSOTE WORKS (PENSACOLA PLT)","701 S J ST","Pensacola","FL","32501"
"12057010304",51.369999,28.00972,82.293053,-82.293053,1,1,"TAYLOR ROAD LANDFILL","TAYLOR RD","Seffner","FL","33619"
"12057012002",53.419998,27.967218,82.389999,-82.389999,1,1,"KASSAUF-KIMERLING BATTERY DISPOSAL","58TH ST & COLUMBUS DR","Tampa","FL","33619"
"12057012103",51.970001,27.9725,82.341942,-82.341942,1,1,"REEVES SOUTHEAST GALVANIZING CORP","9510 E BROADWAY #20","Tampa","FL","33691"
"12057012600",59.16,28.010832,82.143059,-82.143059,1,1,"SCHUYLKILL METALS CORP.","402 S WOODROW WILSON DR","Plant City","FL","33566"
"12069031304",38.529999,28.55139,81.684715,-81.684715,1,1,"TOWER CHEMICAL CO.","MONTVERDE RD","Clermont","FL","34711"
"12085001800",45.919998,27.041111,80.506111,-80.506111,1,1,"FLORIDA STEEL CORP.","SR 710","Indiantown","FL","33456"
"12086000109",32.369999,25.908331,80.154167,-80.154167,1,1,"MUNISPORT LANDFILL","152ND ST NE & BISCAYNE BLVD","North Miami","FL","33161"
"12086004800",44.459999,25.804701,80.277199,-80.277199,1,1,"VARSOL SPILL","MIAMI INT'L AIRPORT","Miami","FL","33159"
"12086006002",57.799999,25.743401,80.311203,-80.311203,1,1,"GOLD COAST OIL CORP.","2835 SW 71 AVE","Miami","FL","33155"
"12086009100",53.560001,25.837219,80.313065,-80.313065,1,1,"MIAMI DRUM SERVICES","7049 NW 70TH ST","Miami","FL","33166"
"12095017901",51.91,28.731951,81.613335,-81.613335,1,1,"ZELLWOOD GROUND WATER CONTAMINATION","803 JONES AVE","Zellwood","FL","32757"
"12105012123",55.66,28.10083,82.00972,-82.00972,1,1,"ALPHA CHEMICAL CORP.","4620 N GALLOWAY RD","Galloway","FL","33805"
"16027021100",41.869999,43.663609,116.63417,-116.63417,1,1,"FLYNN LUMBER CO.","HWY 20/26 2 MI E OF CALDWELL","Caldwell","ID","83605"
"17007010100",28.620001,42.264301,88.872299,-88.872299,1,1,"BELVIDERE MUNICIPAL LANDFILL","APPLETON RD","Belvidere","IL","61008"
"17023060100",48.779999,39.410831,87.699165,-87.699165,1,1,"VELSICOL CHEMICAL CORP. (MARSHALL PLANT)","RTE 1 1MI N OF MARSHALL","Marshall","IL","62441"
"17031510400",3.1600001,41.675999,87.570168,-87.570168,1,1,"PAXTON I & II","2100 E 119TH ST","Chicago","IL","60617"
"17089850301",27.030001,42.11916,88.2864,-88.2864,1,1,"CARPENTERSVILLE","ADDRESS UNREPORTED","Carpentersville","IL","60110"
"17097861701",38.82,42.386669,87.811668,-87.811668,1,1,"JOHNS-MANVILLE CORP.","GREENWOOD AVE","Waukegan","IL","60085"
"17097864205",53.419998,42.281387,88.137497,-88.137497,1,1,"WAUCONDA SAND & GRAVEL","BONNER & GARLAND RD","Wauconda","IL","60084"
"17119403502",9.2299995,38.679161,89.952766,-89.952766,1,1,"COLLINSVILLE","ADDRESS UNREPORTED","Collinsville","IL","62234"
"17163502100",10.31,38.654171,90.10833,-90.10833,1,1,"FAIRMONT CITY","SE 1/2 NW1/4 OF SW T2N R9N","St. Clair County","IL","61841"
"17163502300",7.23,38.597221,90.186111,-90.186111,1,,"SAUGET/TOXIC","ADDRESS UNREPORTED","Sauget","IL","62202"
"17163504500",4.6799998,38.61264,90.181107,-90.181107,1,,"SOUTHERN RAILROAD","ADDRESS UNREPORTED","St. Clair County","IL","62202"
"17201002100",5.3000002,42.24361,89.099998,-89.099998,1,,"PEOPLES AVE LANDFILL","PEOPLES AVENUE EAST SEC34 T43N R1E","Rockford","IL","61108"
"17201003705",31.98,42.1577,89.045502,-89.045502,1,1,"ACME SOLVENT RECLAIMING, INC. (MORRISTOWN PLANT)","EAST OF LINDENWOOD RD","Morristown","IL","61109"
"18003011201",28.58,41.075001,85.066666,-85.066666,1,1,"FORT WAYNE REDUCTION","5225 OLD MAUMEE RD","Fort Wayne","IN","46803"
"18011810400",31.27,40.0453,86.472298,-86.472298,1,1,"WEDZEB ENTERPRISES, INC.","320 SOUTH BALLARD STREET","Lebanon","IN","46052"
